date;region;mask_mandate;contact_restrictions;restaurants;retail_trade;schools;day_care;cultural_facilities;hotels
15.12.20;Berlin;strict;strict;closed;open;closed;closed;closed;closed
16.12.20;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
17.12.20;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
18.12.20;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
19.12.20;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
20.12.20;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
21.12.20;Berlin;strict;strict;closed;closed;holidays;holidays;closed;closed
22.12.20;Berlin;strict;strict;closed;closed;holidays;holidays;closed;closed
23.12.20;Berlin;strict;strict;closed;closed;holidays;holidays;closed;closed
24.12.20;Berlin;strict;strict;closed;closed;holidays;holidays;closed;closed
25.12.20;Berlin;strict;strict;closed;closed;holidays;holidays;closed;closed
26.12.20;Berlin;strict;strict;closed;closed;holidays;holidays;closed;closed
27.12.20;Berlin;strict;strict;closed;closed;holidays;holidays;closed;closed
28.12.20;Berlin;strict;strict;closed;closed;holidays;holidays;closed;closed
29.12.20;Berlin;strict;strict;closed;closed;holidays;holidays;closed;closed
30.12.20;Berlin;strict;strict;closed;closed;holidays;holidays;closed;closed
31.12.20;Berlin;strict;strict;closed;closed;holidays;holidays;closed;closed
01.01.21;Berlin;strict;strict;closed;closed;holidays;holidays;closed;closed
02.01.21;Berlin;strict;strict;closed;closed;holidays;holidays;closed;closed
03.01.21;Berlin;strict;strict;closed;closed;holidays;holidays;closed;closed
04.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
05.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
06.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
07.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
08.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
09.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
10.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
11.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
12.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
13.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
14.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
15.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
16.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
17.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
18.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
19.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
20.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
21.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
22.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
23.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
24.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
25.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
26.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
27.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
28.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
29.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
30.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
31.01.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
01.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
02.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
03.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
04.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
05.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
06.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
07.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
08.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
09.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
10.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
11.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
12.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
13.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
14.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
15.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
16.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
17.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
18.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
19.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
20.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
21.02.21;Berlin;strict;strict;closed;closed;closed;closed;closed;closed
22.02.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
23.02.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
24.02.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
25.02.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
26.02.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
27.02.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
